,hora_del_dia,dia_de_la_semana,mes_del_ano,temp_aula,hum_aula,pres_aula,temp_exterior,nubosidad,hum_exterior,vel_viento,elevacion_sol,acimut_sol,calefaccion_encendida,derroche_siguiente_hora
2025-09-17 11:00:00,11,3,9,30.26,50.67,1009.2,29.5,0.0,52.0,11.9,52.5,176.53,1.0,0
2025-09-17 12:00:00,12,3,9,28.956666666666667,47.27666666666666,1009.2,29.7,1.6,51.0,14.0,51.66466666666667,192.9753333333333,1.0,1
2025-09-17 13:00:00,13,3,9,26.13,43.818571428571424,1016.4,29.4,0.0,57.0,15.1,46.92933333333333,214.91466666666665,1.0,1
2025-09-17 14:00:00,14,3,9,25.87,45.895,1016.0,29.0,0.0,59.0,16.6,38.91933333333334,232.378,1.0,0
2025-09-17 15:00:00,15,3,9,25.8175,48.275,1015.92,28.3,0.0,62.0,17.3,28.991333333333337,245.992,1.0,0
2025-09-17 16:00:00,16,3,9,25.94,49.2425,1016.0666666666666,27.6,0.0,65.0,16.9,18.040000000000003,257.188,1.0,0
2025-09-17 17:00:00,17,3,9,26.08,48.205,1016.25,26.9,0.0,70.0,16.9,6.0875,267.6410714285714,1.0,0
2025-09-17 18:00:00,18,3,9,25.915,48.57,1016.5,25.8,0.0,77.0,14.8,-3.76,275.8207142857143,1.0,0
2025-09-17 19:00:00,19,3,9,25.918,52.824,1017.04,25.1,0.0,80.0,10.8,-16.105,286.545,1.0,0
2025-09-17 20:00:00,20,3,9,26.416666666666668,52.17,1017.6,25.0,1.6,82.0,8.6,-28.540000000000003,299.97,1.0,0
2025-09-17 21:00:00,21,3,9,26.6,53.23,1017.9,24.8,2.3,83.0,6.8,-37.78333333333334,314.1433333333334,1.0,0
2025-09-17 22:00:00,22,3,9,26.54,54.33,1017.8,24.4,3.9,84.0,5.8,-44.77,331.87,1.0,0
2025-09-17 23:00:00,23,3,9,26.66,55.26,1017.8,24.0,4.7,86.0,5.0,-48.27333333333333,352.8733333333333,1.0,0
2025-09-18 00:00:00,0,4,9,26.725,56.06,1017.5,23.7,5.5,87.0,4.3,-47.51666666666667,14.786666666666669,1.0,0
2025-09-18 01:00:00,1,4,9,26.768,57.73714285714285,1017.2571428571428,23.2,1.6,88.0,4.0,-42.66,34.93,1.0,0
2025-09-18 02:00:00,2,4,9,26.81,58.5,1017.2,22.7,0.8,89.0,3.6,-34.75666666666666,51.336666666666666,1.0,0
2025-09-18 03:00:00,3,4,9,26.73,59.42,1017.0,22.1,2.3,90.0,4.3,-24.97,64.50333333333333,1.0,0
2025-09-18 04:00:00,4,4,9,26.77,60.17,1017.2,21.5,6.2,91.0,5.0,-14.268333333333333,75.40166666666667,1.0,0
2025-09-18 09:00:00,9,4,9,26.4225,55.38249999999999,1018.55,26.4,0.0,61.0,5.4,39.61466666666667,129.47466666666668,0.0,1
2025-09-18 10:00:00,10,4,9,27.015,52.84,1018.2,27.8,0.0,56.0,8.3,47.28,147.31933333333333,1.0,1
2025-09-18 11:00:00,11,4,9,27.235,53.98,1017.9,28.5,0.0,55.0,11.2,51.532,170.19375,1.0,1
2025-09-18 12:00:00,12,4,9,27.2475,49.0525,1017.55,28.7,0.0,58.0,13.3,51.10333333333335,194.428,1.0,1
2025-09-18 13:00:00,13,4,9,26.59,39.68,1017.35,29.0,0.0,57.0,14.4,46.15933333333334,215.91333333333336,1.0,1
2025-09-18 14:00:00,14,4,9,25.986666666666665,37.91,1017.25,28.8,0.0,58.0,15.1,38.04866666666667,233.006,1.0,1
2025-09-18 15:00:00,15,4,9,25.68,38.68,1017.1,28.3,0.0,58.0,15.1,28.066666666666663,246.4273333333333,1.0,1
2025-09-18 16:00:00,16,4,9,25.8,39.26,1017.3,27.5,0.0,60.0,15.1,17.093999999999998,257.51866666666666,1.0,1
2025-09-18 17:00:00,17,4,9,25.736666666666668,38.98,1017.55,26.5,0.0,66.0,13.3,5.673571428571428,267.49142857142857,1.0,1
2025-09-18 18:00:00,18,4,9,25.613333333333333,41.46333333333333,1018.1,25.5,0.0,74.0,10.8,-4.106923076923076,275.58692307692303,1.0,1
2025-09-18 19:00:00,19,4,9,25.95,45.86666666666667,1018.65,25.3,27.3,80.0,9.7,-16.11,286.0016666666667,1.0,1
2025-09-19 07:00:00,7,5,9,26.75,50.69499999999999,1019.0,22.5,33.6,80.0,6.1,19.029333333333337,104.628,1.0,1
2025-09-19 08:00:00,8,5,9,26.8,48.04,1019.35,24.7,53.1,70.0,5.4,29.831333333333337,116.09066666666668,1.0,1
2025-09-19 09:00:00,9,5,9,26.656666666666663,46.34166666666667,1019.58,26.1,62.5,68.0,6.8,39.49333333333334,130.108,1.0,1
2025-09-19 10:00:00,10,5,9,27.05666666666667,50.43000000000001,1019.2,27.1,99.2,64.0,9.0,47.05733333333333,147.98466666666667,1.0,1
2025-09-19 11:00:00,11,5,9,26.813333333333333,45.22666666666667,1018.775,27.5,85.9,63.0,10.1,51.19199999999999,170.71687500000002,1.0,1
2025-09-19 12:00:00,12,5,9,26.374,38.398,1018.1,28.3,12.5,60.0,11.2,50.72466666666666,194.31466666666668,1.0,1
2025-09-19 13:00:00,13,5,9,26.165000000000003,44.71666666666667,1017.68,29.0,3.9,57.0,13.3,45.815333333333335,215.66666666666669,1.0,1
2025-09-19 14:00:00,14,5,9,25.843333333333334,41.565,1017.35,28.7,1.6,56.0,14.4,37.742666666666665,232.70666666666665,1.0,1
2025-09-19 15:00:00,15,5,9,26.145,51.205,1017.1,28.2,0.8,58.0,15.1,27.79066666666667,246.118,1.0,1
2025-09-19 16:00:00,16,5,9,26.44666666666667,53.16333333333333,1017.3,27.4,7.8,62.0,14.8,16.836,257.21466666666663,1.0,1
2025-09-19 17:00:00,17,5,9,26.406666666666663,55.04333333333333,1017.7333333333336,26.4,7.0,67.0,12.6,5.313571428571429,267.2967857142857,1.0,1
2025-09-19 18:00:00,18,5,9,26.44,56.505,1018.1,25.6,11.7,73.0,11.2,-4.482499999999999,275.37083333333334,1.0,1
