,temp_aula,hum_aula,pres_aula,min_puerta_1,min_ventana_1,min_ventana_2,min_ventana_3,min_ventana_4,min_ventana_5,min_ventana_6,min_ventana_7,min_ventana_8,min_ventana_9,min_ventana_10,min_ventana_11,min_ventana_12,temp_exterior,nubosidad,hum_exterior,vel_viento,elevacion_sol,acimut_sol,hora_del_dia,dia_de_la_semana,mes_del_ano,temp_calefaccion,temp_calefaccion_inferida,calefaccion_encendida,min_totales_ponderados,derroche_actual
2025-09-17 11:00:00,30.26,50.67,1009.2,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,52.0,11.9,52.49999999999999,176.53,11,3,9,27.9,29.531304593527665,1.0,40.0,1
2025-09-17 12:00:00,28.956666666666667,47.27666666666666,1009.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,1.6,51.0,14.0,51.66466666666667,192.9753333333333,12,3,9,28.4,29.35873638721697,1.0,0.0,0
2025-09-17 13:00:00,26.13,43.81857142857143,1016.4,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,57.0,15.1,46.92933333333333,214.91466666666668,13,3,9,28.6,28.00426613923441,1.0,48.0,1
2025-09-17 14:00:00,25.87,45.895,1016.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,59.0,16.6,38.91933333333333,232.378,14,3,9,28.0,27.74253627040304,1.0,48.0,1
2025-09-17 15:00:00,25.817500000000003,48.275,1015.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,0.0,62.0,17.3,28.991333333333333,245.992,15,3,9,28.7,27.35392513668189,1.0,0.0,0
2025-09-17 16:00:00,25.94,49.2425,1016.0666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,65.0,16.9,18.040000000000006,257.188,16,3,9,28.9,27.44334143236085,1.0,0.0,0
2025-09-17 17:00:00,26.08,48.205,1016.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,70.0,16.9,6.0875,267.6410714285714,17,3,9,28.6,27.745245592660545,1.0,0.0,0
2025-09-17 18:00:00,25.915,48.57,1016.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,77.0,14.8,-3.76,275.8207142857143,18,3,9,29.1,27.704888988244534,1.0,0.0,0
2025-09-17 19:00:00,25.918,52.824,1017.0400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,80.0,10.8,-16.105,286.545,19,3,9,29.3,27.445772548475794,1.0,0.0,0
2025-09-17 20:00:00,26.416666666666668,52.17,1017.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.6,82.0,8.6,-28.540000000000003,299.97,20,3,9,28.9,27.933252448820287,1.0,0.0,0
2025-09-17 21:00:00,26.6,53.23,1017.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,2.3,83.0,6.8,-37.78333333333333,314.1433333333334,21,3,9,28.2,28.02634220509095,1.0,0.0,0
2025-09-17 22:00:00,26.54,54.33,1017.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,3.9,84.0,5.8,-44.77,331.87,22,3,9,28.5,27.914344252910816,1.0,0.0,0
